date,diamond price,inflation rate,gold price,BTC_Close,BTC_Volume,BTC_Marketcap,ETH_Close,ETH_Volume,ETH_Marketcap,DOGE_Close,DOGE_Volume,DOGE_Marketcap
8/22/2018,10752.646,1.78,1195.53,6376.71,4668110000,1.10E+11,271.341,1507660000,27539119679,0.00231455,5962320,268075742.1
8/21/2018,10758.255,1.79,1196.13,6488.76,3377180000,1.12E+11,281.944,1164120000,28609531323,0.00242446,2134170,280772182.7
8/20/2018,10758.361,1.79,1191.88,6308.53,3665100000,1.09E+11,274.315,1413790000,27829775231,0.00236862,2424120,274272438
8/19/2018,10772.129,1.82,1188.88,6506.07,3311170000,1.12E+11,300.834,1447910000,30514025774,0.00247337,2665100,286367575.7
8/18/2018,10769.072,1.83,1188.88,6423.76,3984520000,1.11E+11,295.812,1764020000,29998584852,0.00239422,6738940,277170288.2
8/17/2018,10769.229,1.83,1188.88,6580.63,4992990000,1.13E+11,315.729,1995460000,32011921283,0.00245482,5233940,284151788.6
8/16/2018,10773.372,1.8,1186.88,6334.73,4328420000,1.09E+11,288.046,1552970000,29199228646,0.00229167,5860370,265235124
8/15/2018,10767.648,1.81,1170.13,6308.52,4895450000,1.09E+11,282.364,1878150000,28617473116,0.0023033,5379460,266549316.1
8/14/2018,10773.519,1.78,1191.13,6199.71,5301700000,1.07E+11,278.932,2137850000,28263969132,0.00226024,7512400,261534677.4
8/13/2018,10772.572,1.76,1188.13,6297.57,4083980000,1.08E+11,286.495,1751190000,29024490503,0.0023314,4981090,269736328.6
8/12/2018,10777.116,1.77,1211.73,6322.69,5665250000,1.09E+11,319.57,1625420000,32368768332,0.00240418,3433940,278123344.7
8/11/2018,10778.353,1.76,1211.73,6295.73,4047850000,1.08E+11,322.112,1790370000,32619681420,0.0024036,5083850,278022864.8
8/10/2018,10768.113,1.76,1211.73,6184.71,4528680000,1.06E+11,334.176,1699400000,33834485092,0.00239205,4693290,276653726
8/9/2018,10765.371,1.77,1212.28,6568.23,4267040000,1.13E+11,365.588,1616610000,37007391031,0.00255543,7374010,295514406.1
8/8/2018,10769.62,1.76,1223.88,6305.8,5064430000,1.08E+11,356.613,2016080000,36091566801,0.00241452,4879040,279185556.3
8/7/2018,10773.713,1.77,1197.83,6753.12,4682800000,1.16E+11,380.215,1828350000,38472420233,0.00267104,5725520,308809410.9
8/6/2018,10775.254,1.76,1203.33,6951.8,3925900000,1.20E+11,406.658,1384880000,41139790462,0.00277911,5668670,321265094.8
8/5/2018,10774.794,1.75,1213.43,7068.48,3679110000,1.22E+11,410.516,1396820000,41521715110,0.00283718,11384200,327938539.9
8/4/2018,10769.284,1.72,1213.43,7032.85,4268390000,1.21E+11,407.252,1466540000,41183215694,0.00274521,7980110,317270338.3
8/3/2018,10764.475,1.73,1213.43,7434.39,4627150000,1.28E+11,418.262,1722340000,42287977978,0.00291776,9546950,337172279.4
8/2/2018,10760.829,1.76,1207.98,7567.15,4214110000,1.30E+11,412.621,1569300000,41709183608,0.00294594,6942240,340387651.8
8/1/2018,10756.781,1.75,1224.88,7624.91,4797620000,1.31E+11,420.747,1888060000,42521937218,0.0031595,14829700,365019481.5
7/31/2018,10740.532,1.75,1220.18,7780.44,5287530000,1.34E+11,433.867,1820680000,43839034237,0.00294472,14253600,340164809.3
7/30/2018,10742.954,1.75,1226.88,8180.48,5551400000,1.41E+11,457.081,2141590000,46175217427,0.00327264,13732200,377999635.7
7/29/2018,10745.638,1.73,1223.38,8218.459961,4107190016,1.41E+11,466.6650085,1631910016,47133881666,0.0033072,5890530,381945738.8
7/28/2018,10742.262,1.72,1223.38,8192.150391,3988750080,1.41E+11,466.8980103,1531890048,47147853886,0.00339993,3341480,392607816.7
7/27/2018,10741.911,1.73,1223.38,8165.009766,5195879936,1.40E+11,469.6659851,1734259968,47417755376,0.00341764,5090340,394605474.6
7/26/2018,10755.729,1.71,1222.98,7951.580078,4899089920,1.37E+11,464.0369873,1621560064,46839932193,0.00339319,6916450,391735302.1
7/25/2018,10804.857,1.71,1227.83,8181.390137,5845400064,1.40E+11,472.4930115,1930780032,47683830874,0.00354272,13195600,408948842.1
7/24/2018,10793.602,1.7,1224.58,8424.269531,7277689856,1.45E+11,479.3729858,2287520000,48368209917,0.00361951,10829100,417763030.5
7/23/2018,10774.111,1.69,1238.88,7711.109863,5132480000,1.32E+11,450.8529968,1596999936,45481301491,0.003431,8372820,395957342
7/22/2018,10674.863,1.66,1233.88,7418.490234,3695460096,1.27E+11,459.6570129,1338589952,46360029757,0.00345813,11356800,399040882.3
7/21/2018,10674.255,1.66,1233.88,7419.290039,3726609920,1.27E+11,462.4360046,1504310016,46630720739,0.00327003,13342900,377290409.7
7/20/2018,10666.1,1.67,1232.08,7354.129883,4936869888,1.26E+11,450.697998,1821350016,45437819522,0.00341,18017900,393392431.8
7/19/2018,10663.921,1.67,1222.83,7466.859863,5111629824,1.28E+11,469.618988,2068739968,47335899963,0.00384387,25349600,443392195.3
7/18/2018,10657.419,1.67,1227.63,7370.779785,6103410176,1.26E+11,480.5130005,2371559936,48424155624,0.00371242,39281300,428178334.9
7/17/2018,10658.19,1.71,1226.23,7321.040039,5961950208,1.26E+11,501.0020142,2288100096,50478766285,0.00322786,15429200,372245951.9
7/16/2018,10657.638,1.75,1238.13,6741.75,4725799936,1.16E+11,480.6579895,1858680064,48419026521,0.00285449,15576200,329148247.9
7/15/2018,10669.487,1.75,1238.03,6359.640137,3285459968,1.09E+11,449.8500061,1350160000,45306414380,0.00238017,3869860,274421956.3
7/14/2018,10684.853,1.78,1238.03,6276.120117,2923670016,1.08E+11,436.0859985,1235820032,43911193561,0.00236192,4179950,272285060.3
7/13/2018,10691.104,1.78,1238.03,6238.049805,3805400064,1.07E+11,434.0270081,1489670016,43694988769,0.0023325,6191910,268861136.1
